PRODUCT_ID,BROWSE_NODE_ID
1,1140
2,2321
3,1092
4,125
5,8915
6,33
7,76870
8,113
9,8269
10,2321
11,2321
12,668417
13,1045
14,2321
15,14478
16,1281
17,1247
18,787
19,962
20,2900
21,4052
22,912
23,4052
24,1045
25,2321
26,4
27,604
28,1045
29,6565
30,2321
31,1045
32,2321
33,106
34,2321
35,3175
36,3175
37,1045
38,3175
39,2321
40,840
41,11
42,259
43,1045
44,1045
45,1045
46,4708
47,796
48,796
49,1045
50,4306
51,4581
52,439
53,1045
54,6696
55,81
56,322
57,10422
58,16
59,739
60,1045
61,3175
62,1319
63,781
64,1295
65,1045
66,1045
67,21269
68,2673
69,840
70,1045
71,82
72,361
73,507
74,17397
75,1193
76,289
77,206
78,439
79,322
80,6856
81,1045
82,1084
83,1209
84,465
85,1287
86,465
87,977
88,1239
89,1045
90,796
91,1667
92,1045
93,2379
94,5932
95,1045
96,1045
97,427
98,1045
99,840
100,1658
101,2722
102,1045
103,1045
104,1045
105,771
106,1045
107,506
108,13
109,8757
110,396
111,1024
112,1045
113,1045
114,1045
115,1045
116,1295
117,3867
118,2229
119,1045
120,1045
121,4980
122,1045
123,1687
124,636
125,1295
126,1045
127,81
128,818
129,6
130,1045
131,1045
132,1045
133,8078
134,1240
135,593
136,3867
137,748
138,328
139,3719
140,507
141,29305
142,58420
143,1045
144,1295
145,1351
146,1045
147,1045
148,6
149,818
150,4
151,507
152,787
153,36
154,6
155,1003
156,8594
157,324
158,5061
159,507
160,507
161,2385
162,2650
163,2379
164,16174
165,4535
166,6
167,289
168,977
169,1239
170,3175
171,796
172,5338
173,782
174,2318
175,9643
176,19247
177,7369
178,834
179,834
180,3937
181,1052
182,507
183,166066
184,5061
185,805
186,328
187,6
188,23399
189,4947
190,439
191,507
192,912
193,507
194,2516
195,1973
196,396
197,2560
198,968
199,2181
200,459
201,1835
202,3770
203,924
204,1777
205,4962
206,12266
207,1052
208,1973
209,35723
210,507
211,6
212,3867
213,1045
214,2077
215,1988
216,507
217,1251
218,3712
219,311
220,4
221,4320
222,1232
223,1164
224,3503
225,800
226,3503
227,922
228,1988
229,532
230,800
231,17785
232,13568
233,781
234,800
235,781
236,481
237,2321
238,701
239,2321
240,1984
241,2321
242,3343
243,834
244,15772
245,15772
246,6711
247,1045
248,11073
249,1045
250,1045
251,2321
252,2321
253,708
254,22
255,2321
256,1045
257,417
258,2321
259,1045
260,1045
261,507
262,989
263,374
264,6472
265,1045
266,1930
267,1045
268,1045
269,3175
270,535
271,3329
272,2827
273,1045
274,1295
275,256
276,1433
277,1010
278,1239
279,3821
280,4957
281,507
282,805
283,1813
284,11292
285,1129
286,417
287,2957
288,1045
289,4581
290,1084
291,1092
292,1084
293,1045
294,1045
295,507
296,1295
297,1045
298,1045
299,1045
300,1045
301,7550
302,805
303,2057
304,19998
305,36
306,748
307,1045
308,10307
309,1045
310,660
311,1045
312,2807
313,1045
314,1045
315,618
316,465
317,289
318,1045
319,1045
320,1240
321,8082
322,16143
323,422
324,1295
325,507
326,840
327,26425
328,618
329,5970
330,6
331,1045
332,1045
333,3456
334,1045
335,709
336,1045
337,1013
338,1870
339,1045
340,1045
341,1045
342,1045
343,1045
344,19739
345,289
346,1045
347,1045
348,1045
349,1045
350,368
351,439
352,6
353,1003
354,1045
355,1045
356,289
357,1045
358,2807
359,1045
360,1045
361,1295
362,8802
363,1045
364,1045
365,368
366,1045
367,1045
368,507
369,69
370,6
371,1045
372,1287
373,1045
374,1045
375,1045
376,1045
377,6
378,1045
379,427
380,1045
381,840
382,3175
383,1239
384,2020
385,40370
386,811
387,422
388,4140
389,19
390,1052
391,1484
392,1896
393,1045
394,7137
395,532
396,1045
397,1313
398,3446
399,2977
400,507
401,1348
402,1035
403,2091
404,1819
405,507
406,289
407,3562
408,4840
409,1072
410,13
411,89
412,89
413,38562
414,2378
415,289
416,427
417,2174
418,1973
419,117
420,1433
421,1433
422,9643
423,818
424,818
425,9424
426,1092
427,530
428,4947
429,1988
430,2813
431,1454
432,781
433,11614
434,1337
435,781
436,1699
437,7731
438,328
439,7503
440,507
441,1052
442,1922
443,1603
444,1164
445,1045
446,8989
447,8594
448,1973
449,17397
450,3355
451,818
452,4320
453,19247
454,1045
455,507
456,1072
457,92
458,251
459,3626
460,11567
461,5061
462,2181
463,2181
464,324
465,2524
466,2181
467,227
468,7242
469,3442
470,2379
471,800
472,14490
473,2416
474,800
475,3503
476,754
477,753
478,800
479,800
480,555
481,863
482,398
483,2321
484,796
485,1092
486,507
487,5160
488,7308
489,818
490,2321
491,186
492,1083
493,15772
494,1045
495,6062
496,1045
497,1433
498,1045
499,458
500,834
501,374
502,1045
503,1062
504,1563
505,1045
506,4575
507,1045
508,47118
509,2321
510,15772
511,137130
512,2508
513,1045
514,5
515,1045
516,3976
517,93
518,289
519,1251
520,796
521,1218
522,796
523,1295
524,1117
525,4581
526,5
527,406
528,422
529,1351
530,328
531,417
532,1045
533,1045
534,413
535,1045
536,1045
537,1045
538,1045
539,427
540,52086
541,796
542,515
543,1045
544,1351
545,507
546,1045
547,875
548,1045
549,1433
550,396
551,1045
552,8802
553,1045
554,251
555,1930
556,1045
557,782
558,1045
559,23660
560,1045
561,1295
562,1045
563,1045
564,1045
565,8269
566,6846
567,701
568,834
569,86
570,618
571,251
572,1922
573,630
574,684
575,5932
576,1045
577,1011
578,810
579,1045
580,1239
581,48958
582,1045
583,10631
584,630
585,1045
586,1045
587,1045
588,1045
589,1295
590,1045
591,3914
592,1045
593,1045
594,748
595,1045
596,1922
597,1045
598,1045
599,1045
600,1045
601,1084
602,1045
603,1045
604,840
605,1045
606,507
607,1045
608,1045
609,1045
610,1045
611,818
612,1684
613,11
614,1045
615,1045
616,1339
617,427
618,1045
